sub,prediction via,number of runs,Pearson's r
sub-01,audio-description,1,0.599735344535714
sub-02,audio-description,1,0.03212980146883229
sub-03,audio-description,1,0.602107356089802
sub-04,audio-description,1,0.23460920248391948
sub-05,audio-description,1,0.09344494832152983
sub-06,audio-description,1,0.5391969032706659
sub-09,audio-description,1,0.408539955641923
sub-14,audio-description,1,0.6862876680600434
sub-15,audio-description,1,0.6491416765775795
sub-16,audio-description,1,0.3382909080982661
sub-17,audio-description,1,0.6202340185563334
sub-18,audio-description,1,0.7051775070613406
sub-19,audio-description,1,0.7769132613795559
sub-20,audio-description,1,0.17853238308240835
sub-01,audio-description,2,0.7053783281243212
sub-02,audio-description,2,0.08546428268611146
sub-03,audio-description,2,0.6197071690125744
sub-04,audio-description,2,0.6145599149082762
sub-05,audio-description,2,0.12362851296837432
sub-06,audio-description,2,0.6870457875684562
sub-09,audio-description,2,0.5360363134198234
sub-14,audio-description,2,0.814887862753388
sub-15,audio-description,2,0.7971536257474647
sub-16,audio-description,2,0.49762872173979267
sub-17,audio-description,2,0.7670551534104034
sub-18,audio-description,2,0.7330904049590988
sub-19,audio-description,2,0.8414527091144723
sub-20,audio-description,2,0.21653804128254883
sub-01,audio-description,3,0.6879962336643028
sub-02,audio-description,3,0.17758130030326355
sub-03,audio-description,3,0.6275839614615613
sub-04,audio-description,3,0.447715231130614
sub-05,audio-description,3,0.21750885695553324
sub-06,audio-description,3,0.7148637771386479
sub-09,audio-description,3,0.5553444061304825
sub-14,audio-description,3,0.7915971092907356
sub-15,audio-description,3,0.8021735359257074
sub-16,audio-description,3,0.5903854323114153
sub-17,audio-description,3,0.7713597851575619
sub-18,audio-description,3,0.725782321904277
sub-19,audio-description,3,0.8108802388984024
sub-20,audio-description,3,0.2906896134810367
sub-01,audio-description,4,0.7030673439665688
sub-02,audio-description,4,0.16983140496178362
sub-03,audio-description,4,0.6786137802032467
sub-04,audio-description,4,0.36550000821892903
sub-05,audio-description,4,0.23946961818377455
sub-06,audio-description,4,0.7330419256584839
sub-09,audio-description,4,0.5730850957519813
sub-14,audio-description,4,0.7900839269736487
sub-15,audio-description,4,0.8311975644284737
sub-16,audio-description,4,0.7288877035885357
sub-17,audio-description,4,0.7875293661698803
sub-18,audio-description,4,0.7280137366578183
sub-19,audio-description,4,0.7618864587843206
sub-20,audio-description,4,0.19914603495322827
sub-01,audio-description,5,0.7094694859969616
sub-02,audio-description,5,0.19265574617083187
sub-03,audio-description,5,0.6881037001153274
sub-04,audio-description,5,0.6370290151220648
sub-05,audio-description,5,0.16117420562445495
sub-06,audio-description,5,0.7444631453783108
sub-09,audio-description,5,0.5843191547152481
sub-14,audio-description,5,0.8058883157085022
sub-15,audio-description,5,0.8779536207519208
sub-16,audio-description,5,0.7705649940221925
sub-17,audio-description,5,0.8146160652015205
sub-18,audio-description,5,0.7656459736434152
sub-19,audio-description,5,0.8198423502742525
sub-20,audio-description,5,0.16652114839874455
sub-01,audio-description,6,0.715750391740495
sub-02,audio-description,6,0.25388506201902594
sub-03,audio-description,6,0.7022509007703228
sub-04,audio-description,6,0.7307912178876043
sub-05,audio-description,6,0.1931031915716999
sub-06,audio-description,6,0.7197787350044527
sub-09,audio-description,6,0.594134708283069
sub-14,audio-description,6,0.7923802200086185
sub-15,audio-description,6,0.8977796976786344
sub-16,audio-description,6,0.7940264174819722
sub-17,audio-description,6,0.8260532626467084
sub-18,audio-description,6,0.7720541655563466
sub-19,audio-description,6,0.8348048220706068
sub-20,audio-description,6,0.1624098446424986
sub-01,audio-description,7,0.7519070647896864
sub-02,audio-description,7,0.2882715480925594
sub-03,audio-description,7,0.7333424631581312
sub-04,audio-description,7,0.7721148728112163
sub-05,audio-description,7,0.20260642537795429
sub-06,audio-description,7,0.7801081058181931
sub-09,audio-description,7,0.6367091633282609
sub-14,audio-description,7,0.8216436908464677
sub-15,audio-description,7,0.905725675480581
sub-16,audio-description,7,0.7865799245832004
sub-17,audio-description,7,0.8353049156021524
sub-18,audio-description,7,0.8064401820612827
sub-19,audio-description,7,0.8584465020830795
sub-20,audio-description,7,0.2579443479330777
sub-01,audio-description,8,0.7481955988838335
sub-02,audio-description,8,0.2847301082455633
sub-03,audio-description,8,0.716896414851963
sub-04,audio-description,8,0.7887153814680615
sub-05,audio-description,8,0.1854414207878032
sub-06,audio-description,8,0.7905768575405054
sub-09,audio-description,8,0.6404417735968474
sub-14,audio-description,8,0.8247001102158343
sub-15,audio-description,8,0.9091165618889329
sub-16,audio-description,8,0.8004107615425954
sub-17,audio-description,8,0.8368179436671462
sub-18,audio-description,8,0.8031862992486213
sub-19,audio-description,8,0.8500363666814139
sub-20,audio-description,8,0.24920620062977775
sub-01,movie,1,0.5624091360508737
sub-02,movie,1,0.22802624493898416
sub-03,movie,1,0.4278545551011518
sub-04,movie,1,0.5462908571251326
sub-05,movie,1,-0.017341787395848438
sub-06,movie,1,0.37930577981965585
sub-09,movie,1,0.5419781618562588
sub-14,movie,1,0.523267261827643
sub-15,movie,1,0.6455156798841738
sub-16,movie,1,0.5566692380543974
sub-17,movie,1,0.6747459702491494
sub-18,movie,1,0.5865563840221677
sub-19,movie,1,0.5470493143005074
sub-20,movie,1,-0.035047068392360894
sub-01,movie,2,0.6248502121346841
sub-02,movie,2,0.22206768637039787
sub-03,movie,2,0.49424477980105785
sub-04,movie,2,0.6565167631052393
sub-05,movie,2,0.05260421682005275
sub-06,movie,2,0.5887680810997236
sub-09,movie,2,0.5659356699960332
sub-14,movie,2,0.6416387966928242
sub-15,movie,2,0.6586420910603034
sub-16,movie,2,0.5859984464541027
sub-17,movie,2,0.7092997844519991
sub-18,movie,2,0.6029510285829606
sub-19,movie,2,0.5833710551744125
sub-20,movie,2,0.035068368963891705
sub-01,movie,3,0.6385790460979238
sub-02,movie,3,0.21687138624064087
sub-03,movie,3,0.4795612882109823
sub-04,movie,3,0.6510961612477383
sub-05,movie,3,0.04921000547079107
sub-06,movie,3,0.626432249169763
sub-09,movie,3,0.5641229843171433
sub-14,movie,3,0.6745166539085046
sub-15,movie,3,0.6945761175828664
sub-16,movie,3,0.5997238661407316
sub-17,movie,3,0.6924131608556455
sub-18,movie,3,0.6230304979766477
sub-19,movie,3,0.6466636585888055
sub-20,movie,3,0.01408372410791302
sub-01,movie,4,0.6174488356734718
sub-02,movie,4,0.24459488867777568
sub-03,movie,4,0.4888869403741456
sub-04,movie,4,0.6495366508682678
sub-05,movie,4,0.041408626880540006
sub-06,movie,4,0.6303567391345626
sub-09,movie,4,0.5703688128869391
sub-14,movie,4,0.6995093375043395
sub-15,movie,4,0.7075458239167716
sub-16,movie,4,0.6063711819777294
sub-17,movie,4,0.6985738885637828
sub-18,movie,4,0.5960310722691571
sub-19,movie,4,0.633483355706775
sub-20,movie,4,0.015384919607245433
sub-01,movie,5,0.598601123691857
sub-02,movie,5,0.22462675043974623
sub-03,movie,5,0.5144477683912659
sub-04,movie,5,0.6523984591709855
sub-05,movie,5,0.024488389203783552
sub-06,movie,5,0.6551679816744519
sub-09,movie,5,0.5699372863970081
sub-14,movie,5,0.7450073442700385
sub-15,movie,5,0.7226127976725947
sub-16,movie,5,0.6152286856426866
sub-17,movie,5,0.7095527868541969
sub-18,movie,5,0.6095570088530857
sub-19,movie,5,0.6165567409816158
sub-20,movie,5,0.061243198688547704
sub-01,movie,6,0.5952064794089197
sub-02,movie,6,0.22314378140400176
sub-03,movie,6,0.5070504795288767
sub-04,movie,6,0.6676802627359684
sub-05,movie,6,0.030007463358294434
sub-06,movie,6,0.6496785943896253
sub-09,movie,6,0.5786781340742051
sub-14,movie,6,0.7416573776380186
sub-15,movie,6,0.7077751275551467
sub-16,movie,6,0.636721251649154
sub-17,movie,6,0.7084515615606244
sub-18,movie,6,0.6080319558243438
sub-19,movie,6,0.6627087618366759
sub-20,movie,6,0.08178755498972988
sub-01,movie,7,0.6135522816113519
sub-02,movie,7,0.2110031898078411
sub-03,movie,7,0.5281965791496787
sub-04,movie,7,0.669104510927241
sub-05,movie,7,0.024377834057628823
sub-06,movie,7,0.6401875485869021
sub-09,movie,7,0.5681065172112761
sub-14,movie,7,0.7376523214551407
sub-15,movie,7,0.7184235431066086
sub-16,movie,7,0.6510603808059738
sub-17,movie,7,0.7174326621523586
sub-18,movie,7,0.6300644709869645
sub-19,movie,7,0.664806270878402
