sub,prediction via,number of runs,Pearson's r
sub-01,audio-description,1,0.1971913348142489
sub-02,audio-description,1,0.1754830752514455
sub-03,audio-description,1,0.2788447736613883
sub-04,audio-description,1,-0.1885150245624891
sub-05,audio-description,1,0.1643366549471785
sub-06,audio-description,1,0.05522285716347645
sub-09,audio-description,1,0.2661020464551873
sub-14,audio-description,1,0.4514034482819467
sub-15,audio-description,1,0.03208032990956143
sub-16,audio-description,1,0.1778434773852286
sub-17,audio-description,1,0.41163898954431366
sub-18,audio-description,1,0.31008836151613944
sub-19,audio-description,1,0.27673598737869715
sub-20,audio-description,1,0.09093875872245372
sub-01,audio-description,2,0.29346235267733
sub-02,audio-description,2,0.16814309202217695
sub-03,audio-description,2,0.458949658514278
sub-04,audio-description,2,0.47205053850666273
sub-05,audio-description,2,0.20630719741630565
sub-06,audio-description,2,0.34140722411276864
sub-09,audio-description,2,0.35149516653974283
sub-14,audio-description,2,0.45340759764785205
sub-15,audio-description,2,0.27974515898347485
sub-16,audio-description,2,0.34900711448168514
sub-17,audio-description,2,0.3974113563727308
sub-18,audio-description,2,0.5135889187160625
sub-19,audio-description,2,0.2180597430294703
sub-20,audio-description,2,0.17567438631115592
sub-01,audio-description,3,0.4683678822959406
sub-02,audio-description,3,0.09732816053295387
sub-03,audio-description,3,0.5614372567620046
sub-04,audio-description,3,0.3626708829154008
sub-05,audio-description,3,0.3239750757194644
sub-06,audio-description,3,0.38482114354239877
sub-09,audio-description,3,0.5075909107545736
sub-14,audio-description,3,0.5372124694777081
sub-15,audio-description,3,0.22431396546234053
sub-16,audio-description,3,0.31174618375967145
sub-17,audio-description,3,0.5974986780971167
sub-18,audio-description,3,0.5272659616168557
sub-19,audio-description,3,0.23081807589854494
sub-20,audio-description,3,0.2751161956417405
sub-01,audio-description,4,0.5037949228511203
sub-02,audio-description,4,0.048641418276488546
sub-03,audio-description,4,0.5576189819616592
sub-04,audio-description,4,0.22113725848307725
sub-05,audio-description,4,0.4604270826105463
sub-06,audio-description,4,0.46910861758335226
sub-09,audio-description,4,0.5840320070073104
sub-14,audio-description,4,0.5499009260469916
sub-15,audio-description,4,0.21719296796499243
sub-16,audio-description,4,0.34373179212205135
sub-17,audio-description,4,0.6438079846147551
sub-18,audio-description,4,0.6115091967497537
sub-19,audio-description,4,0.2515643789688496
sub-20,audio-description,4,0.30447826580707993
sub-01,audio-description,5,0.5042219991711618
sub-02,audio-description,5,0.0769194827755616
sub-03,audio-description,5,0.5807812882654627
sub-04,audio-description,5,0.2837404155867945
sub-05,audio-description,5,0.5195133942123524
sub-06,audio-description,5,0.4833928782231863
sub-09,audio-description,5,0.5615548562839672
sub-14,audio-description,5,0.5507214339128981
sub-15,audio-description,5,0.24760593486506444
sub-16,audio-description,5,0.3309344004521665
sub-17,audio-description,5,0.7317714513829314
sub-18,audio-description,5,0.5963738747811532
sub-19,audio-description,5,0.2463622546016195
sub-20,audio-description,5,0.3213555786098722
sub-01,audio-description,6,0.5273854928368584
sub-02,audio-description,6,0.03504201338935289
sub-03,audio-description,6,0.6202207054779858
sub-04,audio-description,6,0.5017936466556573
sub-05,audio-description,6,0.5243160085777021
sub-06,audio-description,6,0.4329301779667017
sub-09,audio-description,6,0.5807495577818336
sub-14,audio-description,6,0.4909770957803521
sub-15,audio-description,6,0.2945742125482324
sub-16,audio-description,6,0.37691927178616286
sub-17,audio-description,6,0.7252778900393431
sub-18,audio-description,6,0.5475288757032412
sub-19,audio-description,6,0.2640851836862797
sub-20,audio-description,6,0.33986162541495235
sub-01,audio-description,7,0.5746308756172545
sub-02,audio-description,7,0.09115239861620271
sub-03,audio-description,7,0.6108589602715008
sub-04,audio-description,7,0.5078291722721854
sub-05,audio-description,7,0.5498107059483284
sub-06,audio-description,7,0.4570509662282288
sub-09,audio-description,7,0.6210667624111013
sub-14,audio-description,7,0.47413768407091017
sub-15,audio-description,7,0.2653633598123588
sub-16,audio-description,7,0.38546661570948454
sub-17,audio-description,7,0.7356256612141425
sub-18,audio-description,7,0.5434411352243679
sub-19,audio-description,7,0.29902272077679154
sub-20,audio-description,7,0.3804816545766135
sub-01,audio-description,8,0.5847018904294995
sub-02,audio-description,8,0.14968833708844387
sub-03,audio-description,8,0.6131166922181184
sub-04,audio-description,8,0.5260204507891652
sub-05,audio-description,8,0.5433364012094886
sub-06,audio-description,8,0.4727700092318654
sub-09,audio-description,8,0.6263678094666351
sub-14,audio-description,8,0.4646140244843409
sub-15,audio-description,8,0.28156828778058324
sub-16,audio-description,8,0.31340502610922577
sub-17,audio-description,8,0.715915966775764
