sub,stimulus,Cronbach's a,number of voxels
sub-01,visual localizer,0.9030992587407429,1665
sub-02,visual localizer,0.9491613308588663,1732
sub-03,visual localizer,0.9491685628890991,1400
sub-04,visual localizer,0.9383344252904255,1575
sub-05,visual localizer,0.878474195798238,1664
sub-06,visual localizer,0.9630650281906128,1951
sub-09,visual localizer,0.9441401958465576,1383
sub-14,visual localizer,0.9368843634923298,1376
sub-15,visual localizer,0.9172748327255249,1683
sub-16,visual localizer,0.924889087677002,1887
sub-17,visual localizer,0.9311535755793253,1441
sub-18,visual localizer,0.7533404032389323,1729
sub-19,visual localizer,0.9523535172144572,1369
sub-20,visual localizer,0.6585228443145752,1437
sub-01,movie,0.6032489027295793,1665
sub-02,movie,0.6525968483516148,1732
sub-03,movie,0.7941117627280099,1400
sub-04,movie,0.8002539362226213,1575
sub-05,movie,0.42301586696079796,1664
sub-06,movie,0.28443969999040875,1951
sub-09,movie,0.6797833783285958,1383
sub-14,movie,0.6464365209851946,1376
sub-15,movie,0.6660623891013009,1683
sub-16,movie,0.5510680334908621,1887
sub-17,movie,0.735668557030814,1441
sub-18,movie,0.5598314149039132,1729
sub-19,movie,0.6080427169799805,1369
sub-20,movie,0.5540943145751953,1437
sub-01,audio-description,0.5671654428754533,1665
sub-02,audio-description,-0.0005175726754324776,1732
sub-03,audio-description,0.45289203098842074,1400
sub-04,audio-description,0.6323250361851284,1575
sub-05,audio-description,-0.5266256332397461,1664
sub-06,audio-description,0.6232738494873047,1951
sub-09,audio-description,0.4210020474025181,1383
sub-14,audio-description,0.6404813017163957,1376
sub-15,audio-description,0.8235837732042585,1683
sub-16,audio-description,0.7116768019539969,1887
sub-17,audio-description,0.7002590383802141,1441
sub-18,audio-description,0.6843635695321219,1729
sub-19,audio-description,0.666856118610927,1369
sub-20,audio-description,0.26998472213745117,1437
